Дата,Физические лица | Длинные позиции | (позиции покупателя),Короткие позиции | (позиции продавца),"Количество лиц, имеющих открытые длинные позиции","Количество лиц, имеющих открытые короткие позиции",Юридические лица | Длинные позиции | (позиции покупателя),Короткие позиции | (позиции продавца),"Количество лиц, имеющих открытые длинные позиции","Количество лиц, имеющих открытые короткие позиции",Совокупный объем открытых позиций,ОИ физиков,IMOEX | Close,Lons/Short физ.,Lons/Short юр.,% Long у физ.от общ.Long,% Short у физ.от общ.Sort
2020-09-22,2787,5458,339,400,5402,2731,21,15,16378,8245,2874,0.5106266031513375,1.9780300256316368,34.03345951886677,66.65038466235194
2020-09-23,2504,6335,329,456,7907,4076,20,29,20822,8839,2933.33,0.3952644041041831,1.939892051030422,24.051484007299972,60.84910191143982
2020-09-24,2749,6054,346,445,7457,4152,22,17,20412,8803,2905.55,0.4540799471423852,1.7960019267822736,26.935136194395454,59.31804820693709
2020-09-25,2604,5656,362,426,8073,5021,21,22,21354,8260,2912.83,0.4603960396039604,1.6078470424218283,24.38887327901096,52.97368174580874
2020-09-28,2489,6367,330,477,8716,4838,21,22,22410,8856,2909.62,0.39092194125961993,1.801570897064903,22.213297634984382,56.82284694332888
2020-09-29,2854,7438,324,505,8926,4342,18,20,23560,10292,2935.77,0.3837052971228825,2.0557346844771995,24.227504244482173,63.140916808149406
2020-09-30,2648,6884,362,480,9218,4982,19,18,23732,9532,2908.55,0.38466008134805346,1.8502609393817744,22.31586044159784,58.01449519635935
2020-10-01,3193,7616,384,500,8954,4531,21,24,24294,10809,2911.08,0.41924894957983194,1.976164202162878,26.286325841771628,62.69860870996954
2020-10-02,2921,6952,353,526,10447,6416,25,24,26736,9873,2840.72,0.42016685845799767,1.6282730673316708,21.850688210652304,52.00478755236385
2020-10-05,2590,7727,376,538,10488,5351,23,24,26156,10317,2860.53,0.3351883007635564,1.9600074752382732,19.804251414589384,59.08395779171127
2020-10-06,2945,6870,395,511,8903,4978,23,21,23696,9815,2885.38,0.42867540029112083,1.7884692647649658,24.856515867656988,57.98446995273464
2020-10-07,4506,6897,501,420,7519,5128,27,19,24050,11403,2883.58,0.6533275337103088,1.4662636505460218,37.47193347193347,57.35550935550936
2020-10-08,4187,6865,492,425,7850,5172,22,22,24074,11052,2850.65,0.6099053168244719,1.5177880897138438,34.784414721276065,57.03248317687132
2020-10-09,3908,7728,468,463,9375,5555,26,18,26566,11636,2842.59,0.5056935817805382,1.6876687668766877,29.421064518557554,58.17962809606264
2020-10-12,3920,6107,455,435,6919,4732,29,17,21678,10027,2834.33,0.6418863599148518,1.4621724429416738,36.165697942614635,56.34283605498662
2020-10-13,4224,6890,495,443,7395,4729,27,18,23238,11114,2846.04,0.6130624092888244,1.5637555508564178,36.354247353472765,59.299423358292444
2020-10-14,3254,6464,406,516,8213,5003,26,20,22934,9718,2829.88,0.5034034653465347,1.6416150309814113,28.377082061567975,56.37045434725735
2020-10-15,4534,7028,536,447,8157,5663,25,20,25382,11562,2849.24,0.64513375071144,1.4404026134557655,35.72610511386022,55.37782680639823
2020-10-16,4458,6852,522,444,8877,6483,26,26,26670,11310,2819.04,0.6506129597197898,1.3692734844979175,33.43082114735658,51.38357705286839
2020-10-19,4164,7531,517,476,9946,6579,25,27,28220,11695,2797.65,0.5529146195724339,1.511779905760754,29.510985116938343,53.37349397590362
2020-10-20,3826,7660,461,546,10316,6482,26,21,28284,11486,2785.99,0.4994778067885117,1.591484109842641,27.05416489888276,54.16489888276057
2020-10-21,4210,7025,508,472,8745,5930,26,19,25910,11235,2811.87,0.599288256227758,1.4747048903878583,32.49710536472404,54.22616750289464
2020-10-22,4251,7310,470,485,9160,6101,25,21,26822,11561,2784.18,0.581532147742818,1.501393214227176,31.6978599656998,54.50749384833345
2020-10-23,3578,7141,458,482,9601,6038,32,19,26358,10719,2807.3,0.5010502730709985,1.5900960582974495,27.149252598831474,54.18468776083163
2020-10-26,3967,7207,494,453,9799,6559,29,21,27532,11174,2812.48,0.5504370750659081,1.493977740509224,28.8173761441232,52.3536248728752
2020-10-27,4338,7502,512,474,9924,6760,24,22,28524,11840,2784.13,0.5782458011197014,1.4680473372781064,30.416491375683634,52.6013181881924
2020-10-28,4922,6817,528,439,9320,7425,28,21,28484,11739,2758.84,0.7220184832037553,1.2552188552188552,34.55975284370173,47.86546833309928
2020-10-29,4354,7746,494,481,11111,7719,24,24,30930,12100,2704.5,0.5620965659695326,1.439435159994818,28.15389589395409,50.08729388942774
2020-10-30,4076,7381,466,504,11329,8024,25,23,30810,11457,2698.94,0.55222869529874,1.411889332003988,26.458941901979877,47.9130152547874
2020-11-02,4033,8400,590,568,12090,7723,25,23,32246,12433,2681.19,0.4801190476190476,1.5654538391816653,25.013955219251997,52.09948520746759
2020-11-03,3203,7368,514,582,10052,5887,25,20,26510,10571,2753.97,0.43471769815418027,1.7074910820451843,24.164466239155036,55.58657110524331
2020-11-05,3045,7018,363,580,9413,5440,24,19,24916,10063,2824.45,0.43388429752066116,1.730330882352941,24.442125541820516,56.333279820195855
2020-11-06,2969,8357,294,716,12478,7090,27,19,30894,11326,2845.74,0.3552710302740218,1.7599435825105783,19.220560626658898,54.10111995856801
2020-11-09,3279,8461,264,671,12149,6967,27,21,30856,11740,2919.08,0.38754284363550406,1.7437921630543993,21.253564946849885,54.841845994296094
2020-11-10,3310,9427,248,782,12131,6014,22,22,30882,12737,2965.92,0.3511191259149252,2.0171267043565013,21.43643546402435,61.05174535328023
2020-11-11,3564,9924,242,853,12234,5874,25,23,31596,13488,3004.63,0.3591293833131802,2.0827374872318694,22.559817698442842,62.81807823775162
2020-11-12,3370,12032,213,979,14149,5487,26,25,35038,15402,2997.79,0.2800864361702128,2.578640422817569,19.236257777270392,68.67971916205263
2020-11-13,3105,11505,208,1010,13913,5513,23,27,34036,14610,3007.16,0.26988265971316816,2.5236713223290406,18.245387237043133,67.60488894112116
2020-11-16,3331,11632,241,937,14322,6021,24,26,35306,14963,3054.35,0.28636519944979366,2.3786746387643247,18.8693139976208,65.89248286410242
2020-11-17,3777,12636,253,898,15136,6277,25,24,37826,16413,3081.05,0.29890788224121556,2.4113429982475707,19.97039073653043,66.81118807169672
2020-11-18,3313,12780,233,930,15535,6068,25,24,37696,16093,3046.02,0.25923317683881064,2.560151615029664,17.57746179966044,67.8056027164686
