date,asset,type,total_oi,fiz_oi,yur_oi,fiz_share,yur_share,long_fiz,short_fiz,long_jur,short_jur,Open,High,Low,Close,Volume,contract
2024-01-03,ALRS,futures,83836.0,24033.0,59803.0,28.67,71.33,13243.0,10790.0,28675.0,31128.0,,,,,,
2024-01-03,GAZR,futures,425090.0,195268.0,229822.0,45.94,54.06,158330.0,36938.0,54215.0,175607.0,,,,,,
2024-01-03,GMKN,futures,48908.0,12645.0,36263.0,25.85,74.15,10493.0,2152.0,13961.0,22302.0,,,,,,
2024-01-03,LKOH,futures,18526.0,10954.0,7572.0,59.13,40.87,8760.0,2194.0,503.0,7069.0,,,,,,
2024-01-03,MGNT,futures,81850.0,44624.0,37226.0,54.52,45.48,22762.0,21862.0,18163.0,19063.0,,,,,,
2024-01-03,MIX,futures,81114.0,58673.0,22441.0,72.33,27.67,29870.0,28803.0,10687.0,11754.0,,,,,,
2024-01-03,ROSN,futures,31482.0,7909.0,23573.0,25.12,74.88,3503.0,4406.0,12238.0,11335.0,,,,,,
2024-01-03,SBRF,futures,649594.0,418549.0,231045.0,64.43,35.57,278824.0,139725.0,45973.0,185072.0,,,,,,
2024-01-03,VTBR,futures,632558.0,357926.0,274632.0,56.58,43.42,309617.0,48309.0,6662.0,267970.0,,,,,,
2024-01-04,MIX,futures,87362.0,33933.0,53429.0,38.84,61.16,10664.0,23269.0,33017.0,20412.0,,,,,,
2024-01-04,SBRF,futures,641138.0,414937.0,226201.0,64.72,35.28,274664.0,140273.0,45905.0,180296.0,,,,,,
2024-01-05,MIX,futures,86036.0,33552.0,52484.0,39.0,61.0,11036.0,22516.0,31982.0,20502.0,,,,,,
2024-01-05,SBRF,futures,643080.0,416757.0,226323.0,64.81,35.19,275186.0,141571.0,46354.0,179969.0,,,,,,
2024-01-08,MIX,futures,86414.0,35607.0,50807.0,41.21,58.79,11101.0,24506.0,32106.0,18701.0,,,,,,
2024-01-08,SBRF,futures,713278.0,453743.0,259535.0,63.61,36.39,306493.0,147250.0,50146.0,209389.0,,,,,,
2024-01-09,MIX,futures,83794.0,35768.0,48026.0,42.69,57.31,11341.0,24427.0,30556.0,17470.0,,,,,,
2024-01-09,SBRF,futures,694760.0,443039.0,251721.0,63.77,36.23,297046.0,145993.0,50334.0,201387.0,,,,,,
2024-01-10,MIX,futures,84386.0,35912.0,48474.0,42.56,57.44,11245.0,24667.0,30948.0,17526.0,,,,,,
2024-01-10,SBRF,futures,699036.0,447362.0,251674.0,64.0,36.0,299129.0,148233.0,50389.0,201285.0,,,,,,
2024-01-11,MIX,futures,86558.0,36689.0,49869.0,42.39,57.61,11372.0,25317.0,31907.0,17962.0,,,,,,
2024-01-11,SBRF,futures,706786.0,451877.0,254909.0,63.93,36.07,302561.0,149316.0,50832.0,204077.0,,,,,,
2024-01-12,MIX,futures,87500.0,37034.0,50466.0,42.32,57.68,11195.0,25839.0,32555.0,17911.0,,,,,,
2024-01-12,SBRF,futures,712856.0,450964.0,261892.0,63.26,36.74,303999.0,146965.0,52429.0,209463.0,,,,,,
2024-01-15,MIX,futures,90290.0,37480.0,52810.0,41.51,58.49,11522.0,25958.0,33623.0,19187.0,,,,,,
2024-01-15,SBRF,futures,720206.0,456817.0,263389.0,63.43,36.57,306959.0,149858.0,53144.0,210245.0,,,,,,
2024-01-16,MIX,futures,91214.0,36210.0,55004.0,39.7,60.3,11293.0,24917.0,34314.0,20690.0,,,,,,
2024-01-16,SBRF,futures,722574.0,461095.0,261479.0,63.81,36.19,306933.0,154162.0,54354.0,207125.0,,,,,,
2024-01-17,MIX,futures,90916.0,36203.0,54713.0,39.82,60.18,11030.0,25173.0,34428.0,20285.0,,,,,,
2024-01-17,SBRF,futures,768408.0,484210.0,284198.0,63.01,36.99,330366.0,153844.0,53838.0,230360.0,,,,,,
2024-01-18,MIX,futures,90782.0,36402.0,54380.0,40.1,59.9,11027.0,25375.0,34364.0,20016.0,,,,,,
2024-01-18,SBRF,futures,754644.0,475224.0,279420.0,62.97,37.03,321375.0,153849.0,55947.0,223473.0,,,,,,
