date,close,open,high,low,value,capitalization,divisor
2001-04-20,171.89,175.01,171.89,171.89,0.0,6275159765419.83,3254811524.0
2001-04-23,167.18,171.89,167.18,167.18,0.0,6275159765419.83,3254811524.0
2001-04-24,169.05,167.18,169.05,169.05,0.0,6275159765419.83,3254811524.0
2001-04-25,168.78,169.05,168.78,168.78,0.0,6275159765419.83,3254811524.0
2001-04-26,173.47,168.78,173.47,173.47,0.0,6275159765419.83,3254811524.0
2001-04-27,177.31,173.47,177.31,177.31,0.0,6275159765419.83,3254811524.0
2001-04-28,178.29,177.31,178.29,178.29,0.0,6275159765419.83,3254811524.0
2001-05-03,182.37,178.29,182.37,182.37,0.0,6275159765419.83,3254811524.0
2001-05-04,181.1,182.37,181.1,181.1,0.0,6275159765419.83,3254811524.0
2001-05-07,184.81,181.1,184.81,184.81,0.0,6275159765419.83,3254811524.0
2001-05-08,188.47,184.81,188.47,188.47,0.0,6275159765419.83,3254811524.0
2001-05-10,190.71,188.47,190.71,190.71,0.0,6275159765419.83,3254811524.0
2001-05-11,189.74,190.71,189.74,189.74,0.0,6275159765419.83,3254811524.0
2001-05-14,187.61,189.74,187.61,187.61,0.0,6275159765419.83,3254811524.0
2001-05-15,188.7,187.61,188.7,188.7,0.0,6275159765419.83,3254811524.0
2001-05-16,188.88,188.7,188.88,188.88,0.0,6275159765419.83,3254811524.0
2001-05-17,196.31,188.88,196.31,196.31,0.0,6275159765419.83,3254811524.0
2001-05-18,198.25,196.31,198.25,198.25,0.0,6275159765419.83,3254811524.0
2001-05-21,205.6,198.25,205.6,205.6,0.0,6275159765419.83,3254811524.0
2001-05-22,206.4,205.6,206.4,206.4,0.0,6275159765419.83,3254811524.0
2001-05-23,206.68,206.4,206.68,206.68,0.0,6275159765419.83,3254811524.0
2001-05-24,206.02,206.68,206.02,206.02,0.0,6275159765419.83,3254811524.0
2001-05-25,201.89,206.02,201.89,201.89,0.0,6275159765419.83,3254811524.0
2001-05-28,199.9,201.89,199.9,199.9,0.0,6275159765419.83,3254811524.0
2001-05-29,203.23,199.9,203.23,203.23,0.0,6275159765419.83,3254811524.0
2001-05-30,203.6,203.23,203.6,203.6,0.0,6275159765419.83,3254811524.0
2001-05-31,207.71,203.6,207.71,207.71,0.0,6275159765419.83,3254811524.0
2001-06-01,210.96,207.71,210.96,210.96,0.0,6275159765419.83,3254811524.0
2001-06-04,221.46,210.96,221.46,221.46,0.0,6275159765419.83,3254811524.0
2001-06-05,218.01,221.46,218.01,218.01,0.0,6275159765419.83,3254811524.0
2001-06-06,216.73,218.01,216.73,216.73,0.0,6275159765419.83,3254811524.0
2001-06-07,212.32,216.73,212.32,212.32,0.0,6275159765419.83,3254811524.0
