Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
,Физические лица,,,,Юридические лица,,,,Совокупный объем открытых позиций,,,,,,,
,Длинные позиции,Короткие позиции,"Количество лиц, имеющих открытые длинные позиции","Количество лиц, имеющих открытые короткие позиции",Длинные позиции,Короткие позиции,"Количество лиц, имеющих открытые длинные позиции","Количество лиц, имеющих открытые короткие позиции",,,,,,,,
Дата,(позиции покупателя),(позиции продавца),,,(позиции покупателя),(позиции продавца),,,,,Close,,Lons/Short физ.,Lons/Short юр.,% Long у физ.от общ.Long,% Short у физ.от общ.Sort
2022-02-18 00:00:00,287604,112729,9519,2580,118041,292916,78,55,811290,,250.28,,2.5512867141551863,0.4029858389435879,70.90041785304885,27.79006273958757
2022-02-21 00:00:00,280230,112132,9546,2017,127633,295731,93,36,815726,,201,,2.4991081939143154,0.431584784821341,68.7068942267379,27.492564905372635
2022-02-22 00:00:00,257161,102134,8883,2435,155275,310302,101,30,824872,,208.53,,2.517878473378111,0.5003996107018324,62.3517345721518,24.763599685769428
2022-02-23 00:00:00,321247,87943,10148,2045,133542,366846,91,39,909578,,208.53,,3.6529001739763256,0.36402741204756217,70.63649296706825,19.337099182258147
2022-02-24 00:00:00,294571,84226,8202,1595,93096,303441,72,30,775334,,132.18,,3.4973879799586824,0.3068009926147093,75.9855752488605,21.72637856717234
2022-02-25 00:00:00,276058,84962,7525,1931,88613,279709,66,35,729342,,131.12,,3.249193757209105,0.3168042501313865,75.7005629732005,23.29826062395968
2022-02-28 00:00:00,263894,81987,6937,1663,87846,269753,65,26,703480,,131.12,,3.2187297986266117,0.32565346817273577,75.02530278046284,23.308978222550746
2022-03-01 00:00:00,263876,81977,6936,1663,87853,269752,65,26,703458,,131.12,,3.218902862998158,0.3256806251668199,75.02253155127954,23.30686409138854
2022-03-02 00:00:00,263876,81977,6936,1663,87853,269752,65,26,703458,,131.12,,3.218902862998158,0.3256806251668199,75.02253155127954,23.30686409138854
2022-03-03 00:00:00,263874,81977,6936,1663,87855,269752,65,26,703458,,131.12,,3.21887846591117,0.3256880393843234,75.02196293168889,23.30686409138854
2022-03-04 00:00:00,263872,81976,6936,1663,87856,269752,65,26,703456,,131.12,,3.218893334634527,0.32569174649307514,75.02160760587728,23.30664604467088
2022-03-09 00:00:00,263871,81975,6937,1663,87856,269752,65,26,703454,,131.12,,3.2189204025617566,0.32569174649307514,75.02153658945716,23.30642799671336
2022-03-10 00:00:00,263871,81975,6937,1663,87856,269752,65,26,703454,,131.12,,3.2189204025617566,0.32569174649307514,75.02153658945716,23.30642799671336
2022-03-11 00:00:00,263836,81961,6938,1663,87877,269752,66,26,703426,,131.12,,3.2190432034748233,0.3257695957768617,75.01457153986347,23.303375195116473
2022-03-14 00:00:00,263755,81880,6930,1656,87877,269752,66,26,703264,,131.12,,3.221238397655105,0.3257695957768617,75.00881603494562,23.285707785412022
2022-03-15 00:00:00,263730,81855,6930,1652,87869,269744,65,26,703198,,131.12,,3.2219168041048194,0.3257495996203808,75.00874575866257,23.28078293738037
2022-03-16 00:00:00,263652,81777,6930,1647,87869,269744,65,26,703042,,131.12,,3.224036098169412,0.3257495996203808,75.00320037778681,23.263759490898124
2022-03-17 00:00:00,263642,81767,6928,1645,87751,269626,63,26,702786,,131.12,,3.2243080949527316,0.32545451848115536,75.02767556553489,23.269387836411084
2022-03-18 00:00:00,263628,81753,6927,1643,83751,265626,62,26,694758,,131.12,,3.22468900223845,0.3152966953536175,75.89059787724646,23.53423782093909
2022-03-21 00:00:00,263623,81748,6927,1642,81776,263651,61,26,690798,,131.12,,3.2248250721730196,0.31016760793624903,76.32419317948228,23.667700253909246
2022-03-22 00:00:00,263607,81732,6927,1641,81376,263251,61,26,689966,,131.12,,3.2252606078402586,0.309119433544412,76.41159129580298,23.691602194890763
2022-03-23 00:00:00,261789,81732,6926,1641,81376,261433,61,26,686330,,131.12,,3.2030171780942593,0.3112690440763025,76.28662596710038,23.817114216193378
2022-03-24 00:00:00,203706,85717,5557,1897,70621,188610,48,20,548654,,136.24,,2.376494744333096,0.3744287153385292,74.25663532936969,31.24628636627091
2022-03-25 00:00:00,216776,105285,5224,1805,73888,185379,56,22,581328,,131.5,,2.0589447689604405,0.39857804821473847,74.57958329892935,36.22223598381636
2022-03-28 00:00:00,181375,86006,4803,1738,75275,170644,46,28,513300,,125,,2.108864497825733,0.44112303977872064,70.67017338788233,33.511007208260274
2022-03-29 00:00:00,166803,60607,4038,1302,67400,173596,34,30,468406,,128.77,,2.7522068407939675,0.3882577939583861,71.22154711937935,25.877977651866118
2022-03-30 00:00:00,76980,28484,3339,1374,47138,95634,17,27,248236,,134.6,,2.7025698637831765,0.49290001463914507,62.021624583058056,22.949129054609323
2022-03-31 00:00:00,90014,33575,3440,1518,46347,102786,17,25,272722,,143.69,,2.680982874162323,0.45090771116689043,66.0115428898292,24.622142694758764
2022-04-01 00:00:00,106887,44541,3476,1783,46580,108926,17,28,306934,,154.5,,2.399744056038257,0.4276297669977783,69.6481979839314,29.023177621247566
2022-04-04 00:00:00,116922,57549,3755,2529,46041,105414,20,31,325926,,166,,2.031694729708596,0.43676361773578465,71.74757460282395,35.314151064965664
2022-04-05 00:00:00,109782,61074,3942,2646,45943,94651,21,30,311450,,154.1,,1.797524314765694,0.4853937095223505,70.49735109969497,39.21913629796115
2022-04-06 00:00:00,132748,68439,4139,3638,46348,110657,22,41,358192,,141.6,,1.9396542906822134,0.4188438146705586,74.12114173404207,38.21358377629874
2022-04-07 00:00:00,134274,70318,4219,3394,48367,112323,24,33,365282,,147.5,,1.9095252993543617,0.4306063762541955,73.51799431671968,38.50066523945883
2022-04-08 00:00:00,130265,61917,4200,2681,48598,116946,18,41,357726,,143.72,,2.1038648513332365,0.4155593179758179,72.82948401849461,34.61699736669965
2022-04-11 00:00:00,125040,65187,4324,3007,48766,108619,21,32,347612,,138.69,,1.9181738690229646,0.44896380927830304,71.94228047363151,37.505609702772055
2022-04-12 00:00:00,134244,77065,4730,3088,43014,100193,24,37,354516,,135.38,,1.7419580873288782,0.4293114289421417,75.73367633618793,43.4761759694908
2022-04-13 00:00:00,132329,74931,4672,3448,43308,100706,25,36,351274,,135.5,,1.7660113971520466,0.43004389013564237,75.34232536424558,42.662423065754936
2022-04-14 00:00:00,118534,79457,4787,3176,43491,82568,26,18,324050,,129.05,,1.4918005965490768,0.5267294835771728,73.15784601141799,49.03996296867768
2022-04-15 00:00:00,135983,73488,4592,2925,43129,105624,25,34,358224,,130.88,,1.8504109514478555,0.40832575929712944,75.9206529992407,41.02907677877529
2022-04-18 00:00:00,122623,92406,4994,2904,44456,74673,22,23,334158,,123.85,,1.3270025755903296,0.5953423593534477,73.39222762884623,55.30677104842619
2022-04-19 00:00:00,139399,85589,5435,2848,44077,97887,20,32,366952,,120.3,,1.6287022865087804,0.4502845117329165,75.97669449955308,46.64860799232598
2022-04-20 00:00:00,147318,98928,5424,3230,44587,92977,29,31,383810,,121.5,,1.4891436196021348,0.47954870559385654,76.76610823063494,51.55050676115786
2022-04-21 00:00:00,128548,94663,5503,3114,50306,84191,32,32,357708,,118.65,,1.357954005260767,0.5975223004834246,71.87314793071444,52.92752748051483
