Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
,Физические лица,,,,Юридические лица,,,,Совокупный объем открытых позиций,,,,,,,
,Длинные позиции,Короткие позиции,"Количество лиц, имеющих открытые длинные позиции","Количество лиц, имеющих открытые короткие позиции",Длинные позиции,Короткие позиции,"Количество лиц, имеющих открытые длинные позиции","Количество лиц, имеющих открытые короткие позиции",,,,,,,,
Дата,(позиции покупателя),(позиции продавца),,,(позиции покупателя),(позиции продавца),,,,,Close,,Lons/Short физ.,Lons/Short юр.,% Long у физ.от общ.Long,% Short у физ.от общ.Sort
2019-07-10 00:00:00,124064,69173,2201,2102,193295,248186,65,49,634718,,243.76,,1.7935321585011492,0.7788311991812592,39.092636414911816,21.796451337444346
2019-07-11 00:00:00,94999,86868,2046,2216,199964,208095,46,77,589926,,241.3,,1.093601786618778,0.9609264999159038,32.207090380827424,29.45047344921227
2019-07-12 00:00:00,98017,78700,2217,1969,199302,218619,49,79,594638,,237.02,,1.2454510800508258,0.9116407997475059,32.9669479582536,26.46988588014893
2019-07-15 00:00:00,100469,70168,2102,2020,194964,225265,66,62,590866,,235.27,,1.4318350245125984,0.8654873149401816,34.00737222991338,23.750901219565858
2019-07-16 00:00:00,100938,66447,2152,2079,189428,223919,49,74,580732,,234.75,,1.5190753532890875,0.8459666218587971,34.762334433094786,22.883877588973917
2019-07-17 00:00:00,95590,70722,2101,2079,185452,210320,66,58,562084,,234.63,,1.351630327196629,0.8817611259033853,34.01270984408025,25.164210331551867
2019-07-18 00:00:00,102767,67455,2087,2103,189690,225002,72,60,584914,,234.78,,1.5234897338966717,0.8430591728073529,35.13918285423156,23.06492920326749
