date,asset,type,total_oi,fiz_oi,yur_oi,fiz_share,yur_share,long_fiz,short_fiz,long_jur,short_jur,Open,High,Low,Close,Volume,contract
2019-01-14,ROSN,futures,12432.0,,,,,,,,,,,,,,
2019-01-14,SBRF,futures,651818.0,,,,,,,,,,,,,,
2019-01-14,VTBR,futures,268236.0,,,,,,,,,,,,,,
2019-01-15,ALRS,futures,3684.0,,,,,,,,,,,,,,
2019-01-15,GAZR,futures,194768.0,,,,,,,,,,,,,,
2019-01-15,LKOH,futures,28646.0,,,,,,,,,,,,,,
2019-01-15,MGNT,futures,160312.0,,,,,,,,,,,,,,
2019-01-15,MXI,futures,32638.0,,,,,,,,,,,,,,
2019-01-15,ROSN,futures,13058.0,,,,,,,,,,,,,,
2019-01-15,SBRF,futures,609032.0,,,,,,,,,,,,,,
2019-01-15,VTBR,futures,266446.0,,,,,,,,,,,,,,
2019-01-16,ALRS,futures,4154.0,,,,,,,,,,,,,,
2019-01-16,GAZR,futures,211282.0,,,,,,,,,,,,,,
2019-01-16,LKOH,futures,28174.0,,,,,,,,,,,,,,
2019-01-16,MGNT,futures,154142.0,,,,,,,,,,,,,,
2019-01-16,MXI,futures,32956.0,,,,,,,,,,,,,,
2019-01-16,ROSN,futures,13704.0,,,,,,,,,,,,,,
2019-01-16,SBRF,futures,676978.0,,,,,,,,,,,,,,
2019-01-16,VTBR,futures,272106.0,,,,,,,,,,,,,,
2019-01-17,ALRS,futures,4088.0,,,,,,,,,,,,,,
2019-01-17,GAZR,futures,213716.0,,,,,,,,,,,,,,
2019-01-17,LKOH,futures,29866.0,,,,,,,,,,,,,,
2019-01-17,MGNT,futures,154082.0,,,,,,,,,,,,,,
2019-01-17,MXI,futures,31280.0,,,,,,,,,,,,,,
2019-01-17,ROSN,futures,13864.0,,,,,,,,,,,,,,
2019-01-17,SBRF,futures,628432.0,,,,,,,,,,,,,,
2019-01-17,VTBR,futures,271904.0,,,,,,,,,,,,,,
2019-01-18,ALRS,futures,4900.0,,,,,,,,,,,,,,
2019-01-18,GAZR,futures,215438.0,,,,,,,,,,,,,,
2019-01-18,LKOH,futures,29288.0,,,,,,,,,,,,,,
2019-01-18,MGNT,futures,149948.0,,,,,,,,,,,,,,
2019-01-18,MXI,futures,28460.0,,,,,,,,,,,,,,
2019-01-18,ROSN,futures,13790.0,,,,,,,,,,,,,,
2019-01-18,SBRF,futures,672082.0,,,,,,,,,,,,,,
2019-01-18,VTBR,futures,280480.0,,,,,,,,,,,,,,
2019-01-21,ALRS,futures,5030.0,,,,,,,,,,,,,,
2019-01-21,GAZR,futures,214426.0,,,,,,,,,,,,,,
2019-01-21,LKOH,futures,32136.0,,,,,,,,,,,,,,
2019-01-21,MGNT,futures,155270.0,,,,,,,,,,,,,,
2019-01-21,MXI,futures,30692.0,,,,,,,,,,,,,,
2019-01-21,ROSN,futures,15010.0,,,,,,,,,,,,,,
2019-01-21,SBRF,futures,635716.0,,,,,,,,,,,,,,
2019-01-21,VTBR,futures,277300.0,,,,,,,,,,,,,,
2019-01-22,ALRS,futures,6190.0,,,,,,,,,,,,,,
2019-01-22,GAZR,futures,219604.0,,,,,,,,,,,,,,
2019-01-22,LKOH,futures,32276.0,,,,,,,,,,,,,,
2019-01-22,MGNT,futures,154190.0,,,,,,,,,,,,,,
2019-01-22,MXI,futures,30602.0,,,,,,,,,,,,,,
2019-01-22,ROSN,futures,16538.0,,,,,,,,,,,,,,
2019-01-22,SBRF,futures,633046.0,,,,,,,,,,,,,,
2019-01-22,VTBR,futures,273844.0,,,,,,,,,,,,,,
2019-01-23,ALRS,futures,6088.0,,,,,,,,,,,,,,
2019-01-23,GAZR,futures,237676.0,,,,,,,,,,,,,,
2019-01-23,LKOH,futures,31984.0,,,,,,,,,,,,,,
2019-01-23,MGNT,futures,144692.0,,,,,,,,,,,,,,
2019-01-23,MXI,futures,36956.0,,,,,,,,,,,,,,
2019-01-23,ROSN,futures,17314.0,,,,,,,,,,,,,,
2019-01-23,SBRF,futures,729634.0,,,,,,,,,,,,,,
2019-01-23,VTBR,futures,266452.0,,,,,,,,,,,,,,
2019-01-24,ALRS,futures,5872.0,,,,,,,,,,,,,,
2019-01-24,GAZR,futures,259070.0,,,,,,,,,,,,,,
2019-01-24,LKOH,futures,29496.0,,,,,,,,,,,,,,
2019-01-24,MGNT,futures,127180.0,,,,,,,,,,,,,,
2019-01-24,MXI,futures,36216.0,,,,,,,,,,,,,,
2019-01-24,ROSN,futures,22290.0,,,,,,,,,,,,,,
2019-01-24,SBRF,futures,681340.0,,,,,,,,,,,,,,
2019-01-24,VTBR,futures,275514.0,,,,,,,,,,,,,,
2019-01-25,ALRS,futures,5926.0,,,,,,,,,,,,,,
2019-01-25,GAZR,futures,254140.0,,,,,,,,,,,,,,
2019-01-25,LKOH,futures,30124.0,,,,,,,,,,,,,,
2019-01-25,MGNT,futures,133784.0,,,,,,,,,,,,,,
2019-01-25,MXI,futures,36260.0,,,,,,,,,,,,,,
2019-01-25,ROSN,futures,23526.0,,,,,,,,,,,,,,
2019-01-25,SBRF,futures,650146.0,,,,,,,,,,,,,,
2019-01-25,VTBR,futures,275288.0,,,,,,,,,,,,,,
2019-01-28,ALRS,futures,6400.0,,,,,,,,,,,,,,
2019-01-28,GAZR,futures,237060.0,,,,,,,,,,,,,,
2019-01-28,LKOH,futures,30776.0,,,,,,,,,,,,,,
2019-01-28,MGNT,futures,134790.0,,,,,,,,,,,,,,
2019-01-28,MXI,futures,36422.0,,,,,,,,,,,,,,
2019-01-28,ROSN,futures,23464.0,,,,,,,,,,,,,,
2019-01-28,SBRF,futures,645602.0,,,,,,,,,,,,,,
2019-01-28,VTBR,futures,284522.0,,,,,,,,,,,,,,
2019-01-29,ALRS,futures,7492.0,,,,,,,,,,,,,,
2019-01-29,GAZR,futures,250212.0,,,,,,,,,,,,,,
2019-01-29,LKOH,futures,32330.0,,,,,,,,,,,,,,
2019-01-29,MGNT,futures,135846.0,,,,,,,,,,,,,,
2019-01-29,MXI,futures,38596.0,,,,,,,,,,,,,,
2019-01-29,ROSN,futures,22688.0,,,,,,,,,,,,,,
2019-01-29,SBRF,futures,656078.0,,,,,,,,,,,,,,
2019-01-29,VTBR,futures,290896.0,,,,,,,,,,,,,,
2019-01-30,ALRS,futures,9302.0,,,,,,,,,,,,,,
2019-01-30,GAZR,futures,241490.0,,,,,,,,,,,,,,
2019-01-30,LKOH,futures,31668.0,,,,,,,,,,,,,,
2019-01-30,MGNT,futures,137532.0,,,,,,,,,,,,,,
2019-01-30,MXI,futures,37346.0,,,,,,,,,,,,,,
2019-01-30,ROSN,futures,22578.0,,,,,,,,,,,,,,
2019-01-30,SBRF,futures,623604.0,,,,,,,,,,,,,,
2019-01-30,VTBR,futures,286218.0,,,,,,,,,,,,,,
2019-01-31,ALRS,futures,11570.0,,,,,,,,,,,,,,
2019-01-31,GAZR,futures,233902.0,,,,,,,,,,,,,,
2019-01-31,LKOH,futures,33840.0,,,,,,,,,,,,,,
2019-01-31,MGNT,futures,137446.0,,,,,,,,,,,,,,
2019-01-31,MXI,futures,40714.0,,,,,,,,,,,,,,
2019-01-31,ROSN,futures,22776.0,,,,,,,,,,,,,,
2019-01-31,SBRF,futures,643252.0,,,,,,,,,,,,,,
2019-01-31,VTBR,futures,273134.0,,,,,,,,,,,,,,
2019-02-01,ALRS,futures,10728.0,,,,,,,,,,,,,,
2019-02-01,GAZR,futures,230200.0,,,,,,,,,,,,,,
2019-02-01,LKOH,futures,40710.0,,,,,,,,,,,,,,
2019-02-01,MGNT,futures,138520.0,,,,,,,,,,,,,,
2019-02-01,MXI,futures,38036.0,,,,,,,,,,,,,,
2019-02-01,ROSN,futures,22992.0,,,,,,,,,,,,,,
2019-02-01,SBRF,futures,622150.0,,,,,,,,,,,,,,
2019-02-01,VTBR,futures,260696.0,,,,,,,,,,,,,,
2019-02-04,ALRS,futures,11858.0,,,,,,,,,,,,,,
2019-02-04,GAZR,futures,231492.0,,,,,,,,,,,,,,
2019-02-04,LKOH,futures,40214.0,,,,,,,,,,,,,,
2019-02-04,MGNT,futures,142048.0,,,,,,,,,,,,,,
2019-02-04,MXI,futures,38636.0,,,,,,,,,,,,,,
2019-02-04,ROSN,futures,24138.0,,,,,,,,,,,,,,
2019-02-04,SBRF,futures,616532.0,,,,,,,,,,,,,,
2019-02-04,VTBR,futures,267302.0,,,,,,,,,,,,,,
2019-02-05,ALRS,futures,11920.0,,,,,,,,,,,,,,
2019-02-05,GAZR,futures,227994.0,,,,,,,,,,,,,,
2019-02-05,LKOH,futures,40762.0,,,,,,,,,,,,,,
2019-02-05,MGNT,futures,143360.0,,,,,,,,,,,,,,
2019-02-05,MXI,futures,46330.0,,,,,,,,,,,,,,
2019-02-05,ROSN,futures,27546.0,,,,,,,,,,,,,,
2019-02-05,SBRF,futures,653720.0,,,,,,,,,,,,,,
2019-02-05,VTBR,futures,256516.0,,,,,,,,,,,,,,
2019-02-06,ALRS,futures,11372.0,,,,,,,,,,,,,,
2019-02-06,GAZR,futures,225492.0,,,,,,,,,,,,,,
2019-02-06,LKOH,futures,45216.0,,,,,,,,,,,,,,
2019-02-06,MGNT,futures,149626.0,,,,,,,,,,,,,,
2019-02-06,MXI,futures,45340.0,,,,,,,,,,,,,,
2019-02-06,ROSN,futures,27592.0,,,,,,,,,,,,,,
2019-02-06,SBRF,futures,621450.0,,,,,,,,,,,,,,
2019-02-06,VTBR,futures,265404.0,,,,,,,,,,,,,,
2019-02-07,ALRS,futures,10940.0,,,,,,,,,,,,,,
2019-02-07,GAZR,futures,244342.0,,,,,,,,,,,,,,
2019-02-07,LKOH,futures,40332.0,,,,,,,,,,,,,,
2019-02-07,MGNT,futures,152452.0,,,,,,,,,,,,,,
2019-02-07,MXI,futures,48242.0,,,,,,,,,,,,,,
2019-02-07,ROSN,futures,29084.0,,,,,,,,,,,,,,
2019-02-07,SBRF,futures,658176.0,,,,,,,,,,,,,,
2019-02-07,VTBR,futures,260778.0,,,,,,,,,,,,,,
2019-02-08,ALRS,futures,10846.0,,,,,,,,,,,,,,
